school,page_type,stage,source_url,priority,need_dynamic,latest_status,latest_http_status,latest_title,latest_final_url,latest_crawled_at,latest_raw_file,latest_content_type,latest_char_count,usable_status,usable_title,usable_final_url,usable_crawled_at,usable_raw_file,usable_content_type,usable_char_count,attempt_count,success_count,last_success_at,raw_file_exists,needs_attention,attention_reason,latest_error
HKU,visa,visa,https://studentvisa.hku.hk/,1,no,success,200.0,HKU Student Visa,https://studentvisa.hku.hk/,2026-06-25T15:26:14+00:00,data/raw_pages/hku__visa__72771fb2bb.txt,text/html,5539,success,HKU Student Visa,https://studentvisa.hku.hk/,2026-06-25T15:26:14+00:00,data/raw_pages/hku__visa__72771fb2bb.txt,text/html,5539,1,1,2026-06-25T15:26:14+00:00,yes,no,,
HKU,faq,general,https://admissions.hku.hk/tpg/faq,2,no,success,200.0,FAQ,https://portal.hku.hk/tpg-admissions/applying/faq,2026-06-25T15:27:04+00:00,data/raw_pages/hku__faq__3f72d8f8be.txt,text/html,9469,success,FAQ,https://portal.hku.hk/tpg-admissions/applying/faq,2026-06-25T15:27:04+00:00,data/raw_pages/hku__faq__3f72d8f8be.txt,text/html,9469,1,1,2026-06-25T15:27:04+00:00,yes,no,,
HKU,orientation,orientation,https://www.cedars.hku.hk/non-local/orientationdaypg,2,no,success,200.0,CEDARS’ Orientation Day for Non-local Students,https://www.cedars.hku.hk/non-local/orientationdaypg,2026-06-25T15:26:56+00:00,data/raw_pages/hku__orientation__730848db52.txt,text/html,4407,success,CEDARS’ Orientation Day for Non-local Students,https://www.cedars.hku.hk/non-local/orientationdaypg,2026-06-25T15:26:56+00:00,data/raw_pages/hku__orientation__730848db52.txt,text/html,4407,1,1,2026-06-25T15:26:56+00:00,yes,no,,
HKU,tuition,payment,https://admissions.hku.hk/tpg/,2,no,success,200.0,Home,https://portal.hku.hk/tpg-admissions/,2026-06-25T15:26:28+00:00,data/raw_pages/hku__tuition__f4446ddc52.txt,text/html,2315,success,Home,https://portal.hku.hk/tpg-admissions/,2026-06-25T15:26:28+00:00,data/raw_pages/hku__tuition__f4446ddc52.txt,text/html,2315,1,1,2026-06-25T15:26:28+00:00,yes,no,,
HKUST,accommodation,housing,https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,1,no,success,200.0,"PG Housing Application for TPGs, Visiting Internship Students and MBA Students | Student Housing and Residential Life",https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,2026-06-25T15:27:33+00:00,data/raw_pages/hkust__accommodation__f1697ce4e9.txt,text/html,1042,success,"PG Housing Application for TPGs, Visiting Internship Students and MBA Students | Student Housing and Residential Life",https://shrl.hkust.edu.hk/apply-for-housing/pg/tpgs-visiting-internship-students-and-mba-students,2026-06-25T15:27:33+00:00,data/raw_pages/hkust__accommodation__f1697ce4e9.txt,text/html,1042,1,1,2026-06-25T15:27:33+00:00,yes,no,,
HKUST,offer_holder,offer_acceptance,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,1,no,success,200.0,Accepting an Offer | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-25T15:27:23+00:00,data/raw_pages/hkust__offer_holder__4f15615f16.txt,text/html,1545,success,Accepting an Offer | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/accepting-offer,2026-06-25T15:27:23+00:00,data/raw_pages/hkust__offer_holder__4f15615f16.txt,text/html,1545,1,1,2026-06-25T15:27:23+00:00,yes,no,,
HKUST,registration,registration,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,1,no,success,200.0,Handy Resources for Studying at HKUST - Taught Postgraduate Students | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,2026-06-25T15:27:39+00:00,data/raw_pages/hkust__registration__dbe794c92c.txt,text/html,5561,success,Handy Resources for Studying at HKUST - Taught Postgraduate Students | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/handy-resources-preparing-your-studies/handy-resources-tpg,2026-06-25T15:27:39+00:00,data/raw_pages/hkust__registration__dbe794c92c.txt,text/html,5561,1,1,2026-06-25T15:27:39+00:00,yes,no,,
HKUST,tuition,payment,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,1,no,success,200.0,Scholarships and Fees | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,2026-06-25T15:27:38+00:00,data/raw_pages/hkust__tuition__b82f703497.txt,text/html,9390,success,Scholarships and Fees | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/submitting-an-application/scholarships-and-fees,2026-06-25T15:27:38+00:00,data/raw_pages/hkust__tuition__b82f703497.txt,text/html,9390,1,1,2026-06-25T15:27:38+00:00,yes,no,,
HKUST,visa,visa,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,1,no,success,200.0,Applying for Student Visa | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,2026-06-25T15:27:32+00:00,data/raw_pages/hkust__visa__b221798f94.txt,text/html,5035,success,Applying for Student Visa | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/Admission-to-Hong-Kong-Campus/after-getting-an-offer/applying-student-visa,2026-06-25T15:27:32+00:00,data/raw_pages/hkust__visa__b221798f94.txt,text/html,5035,1,1,2026-06-25T15:27:32+00:00,yes,no,,
HKUST,faq,general,https://fytgs.hkust.edu.hk/admissions/faq,2,no,success,,FAQ | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/faq,2026-06-29T15:53:14+00:00,data/raw_pages/hkust__faq__5f50ef1f66.txt,text/plain,10058,success,FAQ | HKUST Fok Ying Tung Graduate School,https://fytgs.hkust.edu.hk/admissions/faq,2026-06-29T15:53:14+00:00,data/raw_pages/hkust__faq__5f50ef1f66.txt,text/plain,10058,7,2,2026-06-29T15:53:14+00:00,yes,no,,manual_capture_from=C:\Users\jay\.codex\attachments\d59e874e-11ab-48bd-9d83-17be1307d3a6\pasted-text.txt
